"source","target","weight","alpha"
"10001","10002",0.25646818,0.4058
"10001","10003",0.6111301,0.0038
"10001","10004",0.3076545,0.0299
"10001","10005",0.51578826,0.0903
"10002","10003",0.27695465,0.1124
"10002","10004",0.17322098,0.1593
"10003","10004",0.62531143,0.0001
"10003","10006",0.0032529023,0.9874
"10003","10007",0.0017408989,0.9301
"10003","10008",0.0016878058,0.8993
"10003","10009",0.0039092307,0.9863
"10003","10010",0.0037590961,0.9865
"10003","10011",0.0027222768,0.9855
"10003","10012",0.0023325172,0.9793
"10003","10013",0.0021245047,0.9766
"10003","10014",0.00179934,0.9514
"10004","10006",0.0028035792,0.9891
"10004","10007",0.0015004287,0.9395
"10004","10008",0.0014546693,0.9127
"10004","10009",0.0033692487,0.9882
"10004","10010",0.0032398524,0.9883
"10004","10011",0.0023462488,0.9875
"10004","10012",0.0020103268,0.9822
"10004","10013",0.0018310469,0.9798
"10004","10014",0.0015507973,0.958
"10005","10006",0.397403,0.1851
"10005","10007",0.010314934,0.6458
"10005","10008",0.010000354,0.5243
"10005","10009",0.5306835,0.1253
"10005","10010",0.3986846,0.2102
"10005","10011",0.19175935,0.3381
"10005","10012",0.07718395,0.489
"10005","10013",0.0577129,0.5143
"10005","10014",0.010661201,0.7417
"10006","10007",0.013951427,0.551
"10006","10008",0.013525942,0.4133
"10006","10009",0.6820994,0.0634
"10006","10010",0.721094,0.0484
"10006","10011",0.5418609,0.0324
"10006","10012",0.13383618,0.2794
"10006","10013",0.035583314,0.6672
"10006","10014",0.014419768,0.6661
"10007","10008",0.08105592,0.0009
"10007","10009",0.016766364,0.9423
"10007","10010",0.01612245,0.9431
"10007","10011",0.0018286853,0.9902
"10007","10012",0.010003971,0.914
"10007","10013",0.0014271328,0.9842
"10007","10014",0.086412296,0.0654
"10008","10009",0.016255029,0.944
"10008","10010",0.015630754,0.9448
"10008","10011",0.001772915,0.9905
"10008","10012",0.009698874,0.9165
"10008","10013",0.0013836088,0.9847
"10008","10014",0.007481862,0.8116
"10009","10010",0.80858207,0.0312
"10009","10011",0.34183186,0.1322
"10009","10012",0.26840472,0.0642
"10009","10013",0.14073512,0.1815
"10009","10014",0.017329201,0.6124
"10010","10011",0.3832603,0.1003
"10010","10012",0.2580966,0.0724
"10010","10013",0.13533017,0.1949
"10010","10014",0.01666367,0.6243
"10011","10012",0.20756845,0.1282
"10011","10013",0.18905762,0.0938
"10011","10014",0.0018900734,0.949
"10012","10013",0.13838631,0.1872
"10012","10014",0.010339798,0.7485
"10013","10014",0.193546,0.0005
